"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2019","324.85","324.85","324.85","324.85","","0.61%"
"03/28/2019","322.89","322.89","322.89","322.89","","0.18%"
"03/27/2019","322.31","322.31","322.31","322.31","","-0.14%"
"03/26/2019","322.76","322.76","322.76","322.76","","0.51%"
"03/25/2019","321.13","321.13","321.13","321.13","","-0.93%"
"03/22/2019","324.14","324.14","324.14","324.14","","-0.11%"
"03/21/2019","324.49","324.49","324.49","324.49","","0.24%"
"03/20/2019","323.72","323.72","323.72","323.72","","-0.51%"
"03/19/2019","325.38","325.38","325.38","325.38","","0.43%"
"03/18/2019","324.00","324.00","324.00","324.00","","0.45%"
"03/15/2019","322.54","322.54","322.54","322.54","","0.25%"
"03/14/2019","321.74","321.74","321.74","321.74","","0.42%"
"03/13/2019","320.39","320.39","320.39","320.39","","-0.49%"
"03/12/2019","321.96","321.96","321.96","321.96","","0.68%"
"03/11/2019","319.78","319.78","319.78","319.78","","-0.17%"
"03/08/2019","320.31","320.31","320.31","320.31","","-1.17%"
"03/07/2019","324.10","324.10","324.10","324.10","","-0.01%"
"03/06/2019","324.13","324.13","324.13","324.13","","-0.08%"
"03/05/2019","324.38","324.38","324.38","324.38","","-0.45%"
"03/04/2019","325.83","325.83","325.83","325.83","","1.08%"
"03/01/2019","322.34","322.34","322.34","322.34","","0.19%"
"02/28/2019","321.72","321.72","321.72","321.72","","-0.92%"
"02/27/2019","324.71","324.71","324.71","324.71","","-0.59%"
"02/26/2019","326.63","326.63","326.63","326.63","","-0.42%"
"02/25/2019","328.02","328.02","328.02","328.02","","0.37%"
"02/22/2019","326.80","326.80","326.80","326.80","","-0.43%"
"02/21/2019","328.21","328.21","328.21","328.21","","-0.15%"
"02/20/2019","328.69","328.69","328.69","328.69","","0.74%"
"02/19/2019","326.26","326.26","326.26","326.26","","-0.27%"
"02/18/2019","327.13","327.13","327.13","327.13","","0.99%"
"02/15/2019","323.93","323.93","323.93","323.93","","-0.80%"
"02/14/2019","326.55","326.55","326.55","326.55","","0.25%"
"02/13/2019","325.75","325.75","325.75","325.75","","1.35%"
"02/12/2019","321.40","321.40","321.40","321.40","","-0.22%"
"02/11/2019","322.12","322.12","322.12","322.12","","-0.07%"
"02/08/2019","322.35","322.35","322.35","322.35","","-0.03%"
"02/07/2019","322.45","322.45","322.45","322.45","","0.60%"
"02/06/2019","320.53","320.53","320.53","320.53","","0.00%"
"02/05/2019","320.53","320.53","320.53","320.53","","0.00%"
"02/04/2019","320.53","320.53","320.53","320.53","","-0.22%"
"02/01/2019","321.25","321.25","321.25","321.25","","-0.04%"
"01/31/2019","321.37","321.37","321.37","321.37","","0.44%"
"01/30/2019","319.97","319.97","319.97","319.97","","-0.54%"
